Project.ID,Deployment.Location.ID,Camera.Deployment.Begin.Date,Camera.Deployment.End.Date,Deployment.ID,Months.Deployed,Camera.Failure.Details
OSM_LU2,LU2_27,14-Jul-21,05-Feb-22,D1,7,
OSM_LU2,LU2_52,14-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_54,14-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_155,14-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_100,15-Jul-21,05-Feb-22,D1,7,
OSM_LU2,LU2_20,15-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_21,15-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_137,14-Jul-21,09-Sep-22,D1,14,
OSM_LU2,LU2_123,15-Jul-21,05-Feb-22,D1,7,
OSM_LU2,LU2_119,15-Jul-21,10-Sep-22,D1,14,
OSM_LU2,LU2_30,15-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_31,15-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_03,15-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_33,15-Jul-21,06-Feb-22,D1,7,
OSM_LU2,LU2_29,15-Jul-21,06-Feb-22,D1,7,
OSM_LU13,LU13_18,18-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_15,18-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_03,18-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_34,18-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_57,18-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_16,18-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_21,18-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_37,18-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_55,18-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_47,18-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_51,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_27,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_05,16-Sep-22,23-Sep-23,D1,12,
OSM_LU13,LU13_26,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_35,16-Sep-22,26-Sep-23,D1,12,
OSM_LU13,LU13_13,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_128,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_131,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_12,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_33,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_32,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_30,16-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_53,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_22,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_19,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_45,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_08,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_43,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_41,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_59,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_06,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_14,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_52,15-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_36,15-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_38,15-Sep-22,27-Sep-23,D1,12,
OSM_LU13,LU13_20,14-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_17,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_56,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_49,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_70,15-Sep-22,24-Sep-23,D1,12,
OSM_LU13,LU13_11,15-Sep-22,24-Sep-23,D1,12,
OSM_LU15,LU15-44,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_11,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_19,13-Sep-22,11-Sep-23,D1,12,
OSM_LU15,LU15_07,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_34,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_37,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_18,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_43,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_10,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_58,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_08,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_12,13-Sep-22,17-Nov-22,D1,2,Card error #111
OSM_LU15,LU15_17,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_01,13-Sep-22,13-Sep-23,D1,12,
OSM_LU15,LU15_26,13-Sep-22,13-Sep-23,D1,12,
OSM_LU15,LU15_27,13-Sep-22,13-Sep-23,D1,12,
OSM_LU15,LU15_28,13-Sep-22,13-Sep-23,D1,12,
OSM_LU15,LU15_02,13-Sep-22,13-Sep-23,D1,12,
OSM_LU15,LU15_29,13-Sep-22,13-Sep-23,D1,12,
OSM_LU15,LU15_30,13-Sep-22,13-Sep-23,D1,12,
OSM_LU15,LU15_31,13-Sep-22,13-Sep-23,D1,12,
OSM_LU15,LU15_32,13-Sep-22,13-Sep-23,D1,12,
OSM_LU15,LU15_20,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_21,13-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_23,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_41,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_25,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_09,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_24,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_46,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_40,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_16,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_04,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_36,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LI15_03,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_15,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_14,12-Sep-22,12-Sep-23,D1,12,
OSM_LU15,LU15_22,11-Sep-22,14-Sep-23,D1,12,
OSM_LU15,LU15_61,11-Sep-22,14-Sep-23,D1,12,
OSM_LU21,LU21_106,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_10,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_16,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_107,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_41,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_63,20-Sep-22,07-Jun-23,D1,9,unknown 
OSM_LU21,LU21_27,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_23,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_21,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_82,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_871,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_164,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_36,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_14,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_32,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_126,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_122,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_56,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_57,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_09,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_98,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_119,20-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_52,20-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_59,17-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_68,17-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_109,17-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_93,17-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_114,17-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_105,17-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_100,17-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_74,17-Sep-22,25-Sep-23,D1,12,
OSM_LU21,LU21_78,17-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_153,17-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_06,17-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_116,17-Sep-22,02-Oct-23,D1,13,
OSM_LU21,LU21_97,17-Sep-22,02-Oct-23,D1,13,
OSM_LU01,LU01_06,17-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_10,17-Jun-22,05-Dec-22,D1,6,Card error #110
OSM_LU01,LU01_11,17-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_13,13-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_22,18-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_25,17-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_27,14-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_30,13-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_32,16-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_36,16-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_40,17-Jun-22,24-Aug-23,D1,14,Bear?
OSM_LU01,LU01_41,15-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_43,18-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_44,15-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_45,17-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_46,18-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_47,15-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_48,17-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_60,18-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_63,16-Jun-22,05-Dec-22,D1,6,Card error #110
OSM_LU01,LU01_64,16-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_66,14-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_67,16-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_70,17-Jun-22,11-Apr-23,D1,10,Batteries dead. 
OSM_LU01,LU01_71,18-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_72,16-Jun-22,22-Sep-22,D1,3,Bear? 
OSM_LU01,LU01_73,14-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_74,15-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_75,14-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_76,14-Jun-22,26-Dec-22,D1,6,
OSM_LU01,LU01_77,16-Jun-22,22-Sep-22,D1,3,Unknown - no motion images after end date
OSM_LU01,LU01_78,18-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_79,16-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_80,17-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_82,15-Jun-22,10-Sep-23,D1,15,
OSM_LU01,LU01_83,17-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_84,16-Jun-22,09-Sep-23,D1,15,
OSM_LU01,LU01_85,13-Jun-22,25-May-23,D1,11,Bear messed with camera?
OSM_LU01,LU01_86,16-Jun-22,27-Jul-23,D1,13,Batteries dead. 
,,,,Min,0,
,,,,Max,15,
,,,,Median,12,
